"Time stamp","Electricity from grid (year 1 hourly) | (kWh)","Electricity from system to load (year 1 hourly) | (kWh)","System power generated | (kW)","TOU period for demand charges (year 1 hourly)","Air temperature | ('C)","Wind speed | (m/s)","Wind direction | (deg)","TOU period for energy charges (year 1 hourly)","Electricity load (year 1) | (kW)","Bill load (year 1) | (kWh)","Demand charge with system (year 1 hourly) | ($)","Demand charge without system (year 1 hourly) | ($)","Electricity peak from grid per TOU period (year 1 hourly) | (kW)","Electricity peak from system to load (year 1 hourly) | (kW)","Electricity sales/purchases with system (year 1 hourly) | ($)","Electricity sales/purchases without system (year 1 hourly) | ($)","Electricity to grid (year 1 hourly) | (kWh)","Electricity to/from grid (year 1 hourly) | (kWh)","Electricity to/from grid peak (year 1 hourly) | (kW)","Energy charge with system (year 1 hourly) | ($)","Energy charge without system (year 1 hourly) | ($)","Lifetime electricity load | (kW)","Pressure | (atm)"
"Jan 31, 09:00 pm",0,1.45855,2.35598,1,-9.379,12.8777,251,1,1.45855,1.45855,0,0,0,1.45855,0,0,0.897431,0.897431,0.897431,0,0,0,0.76306
"Jan 31, 10:00 pm",0,1.19113,2.11889,1,-9.579,11.117,257,1,1.19113,1.19113,0,0,0,1.19113,0,0,0.927759,0.927759,0.927759,0,0,0,0.765331
"Jan 31, 11:00 pm",0,0.92851,2.01071,1,-9.779,10.6574,262,1,0.92851,0.92851,0,0,0,0.92851,-13,-121.068,1.0822,1.0822,1.0822,0,108.068,0,0.764838
"Feb 1, 12:00 am",0,0.667879,1.65409,1,-9.919,9.69166,267,1,0.667879,0.667879,0,0,0,0.667879,0,0,0.986213,0.986213,0.986213,0,0,0,0.765036
"Feb 1, 01:00 am",0,0.567211,1.13833,1,-9.819,8.72511,270,1,0.567211,0.567211,0,0,0,0.567211,0,0,0.571123,0.571123,0.571123,0,0,0,0.76711
"Feb 1, 02:00 am",0,0.524635,1.25808,1,-9.619,8.93549,278,1,0.524635,0.524635,0,0,0,0.524635,0,0,0.733441,0.733441,0.733441,0,0,0,0.767998
"Feb 1, 03:00 am",0,0.51247,0.894263,1,-9.579,8.19875,285,1,0.51247,0.51247,0,0,0,0.51247,0,0,0.381793,0.381793,0.381793,0,0,0,0.768294
"Feb 1, 04:00 am",0,0.510988,0.950512,1,-9.719,8.34238,289,1,0.510988,0.510988,0,0,0,0.510988,0,0,0.439524,0.439524,0.439524,0,0,0,0.769381
"Feb 1, 05:00 am",0,0.564758,0.958907,1,-9.139,8.37111,285,1,0.564758,0.564758,0,0,0,0.564758,0,0,0.394149,0.394149,0.394149,0,0,0,0.769281
"Feb 1, 06:00 am",0,0.732481,0.967428,1,-8.559,8.39983,281,1,0.732481,0.732481,0,0,0,0.732481,0,0,0.234947,0.234947,0.234947,0,0,0,0.76928
